28,28,30,28,28,26,26,28,24,32,28,28,30,28,26,28,28,26,28
28,32,32,32,32,26,30,30,28,32,26,26,30,30,30,26,30,30,32
30,29,30,32,29,28,26,32,28,30,28,30,28,26,30,30,28,28,29
28,32,32,30,32,28,30,31,28,28,28,26,28,30,26,26,32,28,32
28,32,32,32,32,26,30,30,28,32,26,26,30,30,30,26,30,30,32
26,28,26,28,28,24,28,32,26,30,30,30,28,28,28,30,26,26,28
26,30,26,30,30,28,28,24,30,24,30,30,30,30,32,30,32,30,30
28,30,32,31,30,32,24,28,30,30,26,28,30,30,30,28,30,26,30
24,28,28,28,28,26,32,30,32,32,30,28,30,34,30,28,30,28,28
30,32,30,28,32,30,24,30,32,26,28,28,30,32,28,28,28,26,32
28,26,28,28,26,30,30,28,30,30,32,30,30,29,29,30,30,30,26
28,26,30,26,26,30,29,26,28,27,30,32,26,32,28,32,28,29,26
30,30,28,28,30,28,30,29,30,32,30,26,30,28,26,26,26,28,30
28,28,28,30,28,28,30,30,34,30,30,30,28,28,30,30,30,34,28
26,30,30,26,30,28,32,30,30,28,30,28,26,30,24,28,28,28,30
28,26,30,26,26,30,29,26,28,27,30,32,26,32,28,32,28,29,26
28,28,30,32,28,26,32,28,30,28,30,28,26,30,28,28,32,32,28
26,30,28,28,30,28,30,26,28,26,30,30,28,34,28,30,32,30,30
28,32,32,32,32,26,30,30,28,32,26,26,30,30,30,26,30,30,32
